credit_type,credit_name,credit_usd
PROMOTION,eddda554-55e7-407a-b25a-6b6d6f3d0e83,-1237.74
DISCOUNT,"100% discount for Network Intelligence Center Network Analyzer until billing comes into effect on October 1, 2023 (billing activated only if you have subscribed to the Network Analyzer SKU)",-2.14
DISCOUNT,"100% discount for Network Intelligence Center Topology and Performance Dashboard until billing comes into effect on October 1, 2023 (billing activated only if you have subscribed to the Network Topology and Performance Dashboard SKU)",-2.14
DISCOUNT,"100% discount for Network Intelligence Center Internet to Google Cloud Performance until billing comes into effect on October 1, 2023 (billing activated only if you have subscribed to the Internet to Google Cloud Performance SKU)",-1.56
DISCOUNT,Memory Allocation Time,-0.02
DISCOUNT,CPU Allocation Time,-0.01
